Ad ID,Advertiser ID,Headline,Description,URL
1,1,Ad from advertiser #1,Ad #1 of advertiser #1,https://www.amazon.com?advertiser=1&ad=1
2,1,Ad from advertiser #1,Ad #2 of advertiser #1,https://www.amazon.com?advertiser=1&ad=2
3,1,Ad from advertiser #1,Ad #3 of advertiser #1,https://www.amazon.com?advertiser=1&ad=3
4,1,Ad from advertiser #1,Ad #4 of advertiser #1,https://www.amazon.com?advertiser=1&ad=4
5,2,Ad from advertiser #2,Ad #1 of advertiser #2,https://www.amazon.com?advertiser=2&ad=1
6,2,Ad from advertiser #2,Ad #2 of advertiser #2,https://www.amazon.com?advertiser=2&ad=2
7,2,Ad from advertiser #2,Ad #3 of advertiser #2,https://www.amazon.com?advertiser=2&ad=3
8,2,Ad from advertiser #2,Ad #4 of advertiser #2,https://www.amazon.com?advertiser=2&ad=4
9,3,Ad from advertiser #3,Ad #1 of advertiser #3,https://www.amazon.com?advertiser=3&ad=1
10,4,Ad from advertiser #4,Ad #1 of advertiser #4,https://www.amazon.com?advertiser=4&ad=1
11,4,Ad from advertiser #4,Ad #2 of advertiser #4,https://www.amazon.com?advertiser=4&ad=2
12,4,Ad from advertiser #4,Ad #3 of advertiser #4,https://www.amazon.com?advertiser=4&ad=3
13,5,Ad from advertiser #5,Ad #1 of advertiser #5,https://www.amazon.com?advertiser=5&ad=1
14,5,Ad from advertiser #5,Ad #2 of advertiser #5,https://www.amazon.com?advertiser=5&ad=2
15,5,Ad from advertiser #5,Ad #3 of advertiser #5,https://www.amazon.com?advertiser=5&ad=3
16,5,Ad from advertiser #5,Ad #4 of advertiser #5,https://www.amazon.com?advertiser=5&ad=4
17,6,Ad from advertiser #6,Ad #1 of advertiser #6,https://www.amazon.com?advertiser=6&ad=1
18,6,Ad from advertiser #6,Ad #2 of advertiser #6,https://www.amazon.com?advertiser=6&ad=2
19,7,Ad from advertiser #7,Ad #1 of advertiser #7,https://www.amazon.com?advertiser=7&ad=1
20,7,Ad from advertiser #7,Ad #2 of advertiser #7,https://www.amazon.com?advertiser=7&ad=2
21,7,Ad from advertiser #7,Ad #3 of advertiser #7,https://www.amazon.com?advertiser=7&ad=3
22,7,Ad from advertiser #7,Ad #4 of advertiser #7,https://www.amazon.com?advertiser=7&ad=4
23,8,Ad from advertiser #8,Ad #1 of advertiser #8,https://www.amazon.com?advertiser=8&ad=1
24,8,Ad from advertiser #8,Ad #2 of advertiser #8,https://www.amazon.com?advertiser=8&ad=2
25,8,Ad from advertiser #8,Ad #3 of advertiser #8,https://www.amazon.com?advertiser=8&ad=3
26,8,Ad from advertiser #8,Ad #4 of advertiser #8,https://www.amazon.com?advertiser=8&ad=4
27,9,Ad from advertiser #9,Ad #1 of advertiser #9,https://www.amazon.com?advertiser=9&ad=1
28,10,Ad from advertiser #10,Ad #1 of advertiser #10,https://www.amazon.com?advertiser=10&ad=1
29,10,Ad from advertiser #10,Ad #2 of advertiser #10,https://www.amazon.com?advertiser=10&ad=2
